0,1
"June 15, 2023","Approval of the 2022 financial statements by the Shareholders' Meeting of May 24, 2023"
"April 29, 2023","Convening notice for Shareholders' Meeting of May 24, 2023"
"March 30, 2023","Notice of Shareholders' Meeting of May 24, 2023"
