0,1
"Governance, Appointments & Corporate Social Responsibility Committee",
Composition,Key figures
· Véronique Weill* (Chair),5 members
· Ulrike Steinhorst (in charge,4 meetings
of CSR issues)(1),89.47% attendance rate
· Stéphanie Frachet*,75% women
· Patrick Sayer*,members(2)
· Grzegorz Szelag **,75% independent members(2)
