0,1,2,3,4,5,6,7,8
(in millions of euros),Contractual cash flows,,,,,,,
,Carrying amount,<1 year,≥1 year and ≤5 years,,,,>5 years,Total
,,,2025,2026,2027,2028,2029 and beyond,
Commodity derivatives:,,,,,,,,
· Assets,4,4,"—
:unselected:","—
:unselected:","—
:unselected:",—,—,4
· Liabilities,(1),(1),—,"—
:unselected:",—,"—
:unselected:",—,(1)
