0,1
"Standards, amendments and interpretations effective for reporting periods beginning on or after January 1, 2024",
Amendments to IFRS 16,Lease Liability in a Sale and Leaseback
Amendments to IAS 1,Presentation of Financial Statements:
,· Classification of Liabilities as Current or Non-current;
,· Non-current Liabilities with Covenants.
