0,1,2,3,4,5,6,7,8
(in millions of euros),Bonds,"placements) Schuldschein loans (German
private","Investment
European Bank (EIB) loans",Bilateral bank loans,Lease liabilities,borrowings Other,Accrued interest,Total
"CARRYING AMOUNT AT JANUARY 1, 2023","3,807",887,582,100,617,45,65,"6,103"
Increases/Subscriptions,596,"—
:unselected:","—
:unselected:","150
:selected:",—,"2
:unselected:","—
:unselected:",748
New contracts/Renewals/ Modifications,"—
:unselected:","—
:unselected:","—
:unselected:","—
:unselected:",112,"—
:unselected:",—,112
Redemptions/Repayments,(500),(336),"—
:unselected:","—
:unselected:","(115)
:selected:","(20)
:selected:",—,(971)
Changes in scope,"—
:unselected:","—
:unselected: :unselected:","—
:unselected:","—
:unselected:","(1)
:selected:","(1)
:selected:",—,(2)
Value adjustments,"33
:selected:","1
:unselected:",5,"—
:unselected:","—
:unselected:","(1)
:selected:",—,38
Translation adjustment,"—
:unselected:","—
:unselected:","—
:unselected:","—
:unselected:","(17)
:selected:","(2)
:selected:",—,(19)
Other movements,"—
:unselected:","—
:unselected:","—
:unselected:","—
:unselected:","(15)
:selected:",—,20,5
"CARRYING AMOUNT AT DECEMBER 31, 2023","3,936",552,587,250,581,23,85,"6,014"
