0,1,2
(in millions of euros),2023,2022
INVESTMENTS IN ASSOCIATES AT JANUARY 1,14,20
Share in net earnings of associates,8,2
Dividend payments,(3),(1)
Impact of changes in scope of consolidation,4,(4)
Other movements(1),—,(3)
Translation adjustment,(1),—
INVESTMENTS IN ASSOCIATES AT DECEMBER 31,22,14
