0,1,2
(in millions of euros),2023,2022
Cost of gross debt(1),(340),(189)
Interest income on cash and investments,97,58
COST OF NET DEBT,(243),(131)
Net interest cost on provisions for pensions and other employee benefits(2),(30),(14)
Currency gains (losses),14,(21)
Gains (losses) on commodity derivatives (ineffective portion),—,(1)
Gains (losses) on interest rate derivatives (ineffective portion),(1),2
Gains (losses) on long-term investments held for trading(3),(33),28
Other(4),3,2
OTHER FINANCIAL INCOME AND EXPENSES,(47),(4)
NET FINANCIAL INCOME (EXPENSE),(290),(135)
