0,1,2,3
,2021,2022,2023
Market capitalization at year-end (in billions of euros),6.45,4.07,3.40
Number of shares (at December 31),"242,574,781","243,501,944","244,633,504"
Highest share price (in euros),33.66,28.50,22.23
Lowest share price (in euros),20.47,13.80,11.53
Average share price (in euros),27.01,19.19,17.71
Share price at year-end (in euros),26.58,16.70,13.92
