0,1,2,3
(in millions of euros),Total,Spheros Climatização do Brasil SA,Asaphus Vision GmbH
"LIABILITIES AT JANUARY 1, 2022",17,12,5
Fair value adjustments recognized against non-controlling interests,2,2,—
Fair value adjustments recognized in retained earnings,(7),(7),—
"LIABILITIES AT DECEMBER 31, 2022",12,7,5
Fair value adjustments recognized against non-controlling interests,3,3,—
Fair value adjustments recognized in retained earnings,6,6,—
Exercise of options(1),(5),—,(5)
Reclassifications,(16),(16),—
"LIABILITIES AT DECEMBER 31, 2023",—,—,—
