0,1,2
Commitment,Partners,Focus of the initiatives
Action with local communities,· Local populations · Local governments · Local schools (primary/secondary) · Higher education and research organizations,· Support for local economic fabric and development . Partnerships with the world of education and local training · Partnerships with the local research ecosystem
Action with local populations,· Local populations,· Dialogue with local stakeholders · Solidarity initiatives through donations to local populations
