0,1,2
,2023,2022
Date rights granted,October 6,October 7
Reference price (in euros),17.80,18.96
Face value discount (in %),20,20
Subscription price (in euros),14.24,15.17
Beneficiary's 5-year interest rate (in %),N/A,6.00
Risk-free interest rate (in %),3.40,3.10
"Credit spread for ""A-""-rated financial institution (in %)",0.90,N/A
Repo rate (in %),0.57,0.80
