0,1,2,3,4
,Section,2021,2022,2023
CHANGE IN VALEO'S HEADCOUNT,,,,
Managers and Professionals,4.3.4,"31,581","35,909","38,671"
Technicians(1),4.3.4,"15,217","15,173","14,799"
Operators,4.3.4,"47,371","47,073","47,270"
Registered headcount(2),4.3.4,"94,169","98,155","100,739"
Temporary staff,,"9,131","11,745","12,008"
Total headcount,4.3.4,"103,300","109,900","112,747"
Permanent staff,,"82,433","85,659","87,601"
Non-permanent staff,,"20,867","24,241","25,146"
Average headcount(3),4.3.4,"104,500","107,250","112,275"
Breakdown of registered headcount by socio-professional category (in %),4.3.4,,,
· Managers and Professionals,,33.5%,36.6%,38.4%
· Technicians(1),,16.2%,15.5%,14.7%
· Operators,,50.3%,48.0%,46.9%
Breakdown of registered headcount by contract type (in %),4.3.4,,,
· Permanent contracts,,79.8%,77.9%,77.7%
· Fixed-term contracts,,11.4%,11.4%,11.7%
· Temporary staff,,8.8%,10.7%,10.7%
Breakdown of registered headcount by geographic area,4.3.4,,,
· Western Europe,,"24,878","25,599","26,134"
· Central and Eastern Europe,,"15,428","16,387","16,819"
· Africa,,"6,224","7,047","8,002"
· North America,,"16,311","15,854","16,679"
· South America,,"2,022","2,009","1,994"
· Asia,,"29,289","31,243","31,112"
Breakdown of registered headcount by gender (in %),4.3.4,,,
· Women,,32.4%,31.8%,33.1%
· Men,,67.6%,68.2%,66.9%
HEALTH AND SAFETY,,,,
"Number of lost-time occupational accidents per million hours worked, Group (FR1)",4.2.2,1.2,1.1,0.8
"Number of occupational accidents, with or without lost time, per million hours worked, Group (FR2)",4.2.2,5.1,5.1,5.2
"Number of days lost owing to an occupational accident per thousand hours worked, Group (SR1)",4.2.2,0.04,0.05,0.03
Number of category 1 accidents,4.2.2,2,5,3
Absenteeism rate,4.2.2,2.9%,3.2%,2.81%
ATTRACTING TALENT,,,,
Breakdown of new hires by contract type (in %),4.2.2,,,
· Permanent contracts,,57%,61%,61%
· Fixed-term contracts,,43%,39%,39%
Breakdown of new hires by geographic area(4) (in %),4.2.2,,,
· Western Europe,,20%,19%,22%
· Central and Eastern Europe,,12%,15%,13%
· Africa,,7%,8%,8%
· North America,,26%,28%,30%
· South America,,2%,2%,1%
· Asia,,34%,28%,25%
Change in the number of Linkedin followers,,"923,792","1,106,602","1,352,652"
