0,1,2,3,4,5,6,7,8
Sales (in millions of euros),As a % of 2023 sales,2023,vs. 2022,,,,,
,,,2022,LFL* change,FX,Scope,Change,(adjusted) LFL change
Original equipment,85%,"18,701","16,748",+11%,-3%,+4%,+12%,+13%
Aftermarket,10%,"2,267","2,256",+4%,-3%,-%,-%,+4%
Miscellaneous,5%,"1,076","1,033",+1%,-3%,+6%,+4%,+4%
TOTAL,100%,"22,044","20,037",+9%,-3%,+4%,+10%,+11%
