0,1,2,3,4
Indicators,Section,2021,2022,2023
Percentage of sites that organized open days,,-%,20.00%,30%
Share of sites partnering with local elementary/secondary schools,4.3.5,47%,50%,50%
Share of sites partnering with local universities/engineering schools,4.3.5,80%,82%,N/A
Share of sites partnering with local universities/engineering schools on a formal basis,,N/A,N/A,51%
Share of production purchases for which the suppliers' sustainable development practices were assessed during the year (% of total purchases),4.3.5,82%,85%,85%
