0,1,2,3,4,5,6
Year,Type of operation,Changes (in millions of euros),,,Number of shares issued,"Total number of shares at Dec. 31, 2023"
,,Nominal,Premium,Total,,
2023,Capital increase reserved for employees,1,15,16,"1,131,560","244,633,504"
