0,1,2,3,4,5
,"December 31, 2023",,,,"December 31, 2022"
(in millions of euros),Less than 1 year,1 to 5 years,More than 5 years,Total,Total
Bonds,700,"2,650",600,"3,950","3,850"
Private placement,—,504,50,554,890
European Investment Bank (EIB) loans,50,400,150,600,600
Bilateral bank loans,—,250,—,250,100
Accrued interest,80,—,—,80,54
LONG-TERM DEBT,830,"3,804",800,"5,434","5,494"
