0,1,2
(in millions of euros),2023,2022
Dividends,210,244
Interest income,336,165
Interest expense,(333),(169)
Net (additions to)/reversals from provisions for impairment and for investments in subsidiaries and affiliates,(2),(40)
Other financial income and expenses,24,1
NET FINANCIAL INCOME,235,201
