0,1,2,3,4,5,6
Aligned Activities,Sales 2022,Sales 2023,Capex 2022,Capex 2023,Opex 2022,Opex 2023
3.18. Manufacturing of automotive and mobility components*,-,0.4%,-,2.1%,-,-
Total,-,0.4%,-,2.1%,-,-
