0,1,2,3,4,5,6
Global Gestamp,2023,,,2022,,
,Men,Women,Total,Men,Women,Total
Directors (1),"177,972","144,648","173,565","166,985","119,232","160,185"
Middle managers (2),"79,529","74,807","78,529",73.027,"67,910",72.043
All other employees,26.796,"22,540","25,943","25,206",21.461,"24,486"
Total,"29,795","24,955","28,826","27,982","23,523","27,126"
