0,1,2,3
Water consumption in water stress areas (m3),Reference level6,2022,2023
India,Extremely high,"79,477","46,447"
Mexico,High,"138,638","146,415"
Portugal,High,"29,628","28,041"
Spain,High,"207,490","226,203"
Total,,"455,233","447,106"
% of total consumption,,25%,25%
