0,1,2,3,4
Region,No. of redundancies 2022,% Total turnover 2022,No. of redundancies 2023,% Total turnover 2023
Asia,"1,349",26.8%,"1,361",23.6%
Eastern Europe,"1,477",19.8%,915,12.1%
North America,"3,380",49.0%,"2,686",37.6%
South America,780,14.9%,870,15.0%
Western Europe,"1,262",9.4%,945,6.9%
Total Gestamp,"8,248",21.7%,"6,777",17.0%
