0,1,2,3,4,5,6,7,8
,Corporate tax expenses,,Profit before taxes,,Subsid. Capital,,Subsid. Operations,
,2022,2023,2022,2023,2022,2023,2022,2023
EASTERN EUROPE,,,,,,,,
Turkey,-0.9,-6.0,67.1,12.0,0.0,0.0,"0.0
:unselected:",0.0
Russia,-0.9,-1.7,-18.8,8.8,0.0,O.C,"0.1
:unselected:",0.0
Czech Republic,-1.0,-0.6,4.3,-10.8,0.0,0.0,0.1,"0.1
:unselected:"
Poland,-4.6,0.2,42.6,43.4,0.0,0.0,"0.0
:unselected:",O.C
Hungary,O.C,-0.2,6.C,"-4.5
:unselected:",0.0,O.C,O.C,0.0
Slovakia,-3.6,-3.2,27.2,15.2,0.5,O.C,0.0,0.0
Romania,-0.3,"O.C
:unselected:",5.6,10.2,0.0,0.0,0.0,0.0
Bulgaria,0.0,0.0,"1.7
:unselected:","1.0
:unselected:",0.0,O.C,0.0,0.0
Lithuania,,0.0,,0.0,,0.0,,0.0
SOUTH AMERICA,,,,,,,,
Brazil,-8.5,"-10.6
:unselected:",41.0,53.4,0.0,O.C,"0.0
:unselected:",0.0
Argentina,"0.0
:unselected:",-0.3,-4.8,-2.1,0.0,0.0,0.0,0.0
NORTH AMERICA,,,,,,,,
United States,"0.0
:unselected:","2.8
:unselected:",-61.5,-152.6,"0.0
:unselected:","0.0
:unselected:","0.9
:unselected:",7.0
Mexico,-13.2,-15.2,-3.5,18.7,0.1,"0.1
:unselected:","O.C
:unselected:",0.0
ASIA,,,,,,,,
China,-10.4,"-13.8
:unselected:",76.5,117.6,0.0,1.6,6.3,6.1
India,"-4.0
:unselected:","2.6
:unselected:",19.4,5.2,0.0,0.0,"0.0
:unselected:",0.0
South Korea,-2.2,-1.8,11.8,10.2,0.0,0.0,0.0,0.0
Japan,"-0.1
:unselected:",0.0,-2.8,-0.8,0.8,0.7,0.0,0.0
Thailand,-0.2,-0.3,1.5,1.2,0.0,0.0,O.C,0.0
Taiwan,0.0,O.C,0.0,1.6,0.0,0.0,0.0,:unselected: 0.0
Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :unselected:
