0,1,2,3,4,5,6
Professional Classification,Women,,,Men,,
,2023,2022,2021,2023,2022,2021
Directors,"13,66%","14,30%","15,30%","86,34%","85,70%","84,70%"
Middle managers,"21,46%","18,80%","20,40%","78,54%","81,20%","79,60%"
All other employees,"20,20%","19,30%","18,60%","79,80%","80,70%","81,40%"
Total,"20,18%","19,20%","18,60%","79,82%","80,80%","81,40%"
