0,1,2,3
AFRICA,"Gestamp Mexicana Serv. Lab. II, S.A. de CV",ASIA,"Gestamp Auto Components (Tianjin) Co., LTD."
,"Gestamp North America, INC",,"Gestamp Auto Components Sales (Tianjin) Co., LTD."
"Gescrap Morocco, S.R.L.","Gestamp Puebla II, S.A. de C.V.",Anhui Edscha Automotive Parts Co Ltd.,"Gestamp Auto Components Wuhan, co. Ltd."
"Tuyauto Gestamp Morocco, S.A.","Gestamp Puebla, S.A. de C.V.",Autotech Engineering (Shangai) Co. Ltd.,Gestamp Automotive Chennai Private Ltd.
,"Gestamp San Luis Potosí, S.A.P.I. de C.V.","Beyçelik Gestamp Otomotive Sanayi, A.S.",Gestamp Automotive India Private Ltd.
,"Gestamp South Carolina, Llc","Beyçelik Gestamp Sasi Otomotive Sanayi, A.S.",Gestamp Autotech Japan K.K.
NORTH AMERICA,Gestamp Toluca SA de CV,"Beyçelik Gestamp Teknoloji ve Kalip Sanayi, A.S.",Gestamp Hot Stamping Japan Co. Ltd.
,"Gestamp Washtenaw, LLC.","Çelik Form Gestamp Otomotive, A.S.",Gestamp Kartek Corp.
"Autotech Engineering R&D USA, Inc.","Gestamp West Virginia, Llc.",Changchun Xuyang Gestamp Auto Components Co. Ltd.,"Gestamp Metal Forming (Wuhan), Ltd"
"Edscha Automotive Michigan, Inc","GGM Puebla Servicios Laborales, S.A. de C.V.",Edscha Aapico Automotive Co. Ltd,"Gestamp New Energy Vehicle Components (Beijing) Co., LTD."
"Edscha Automotive SLP Servicios Laborales, S.A.P.I. de C.V.","GGM Puebla, S.A. de C.V.",Edscha Aditya Automotive Systems Private Limited,"Gestamp Pune Automotive, Private Ltd."
"Edscha Automotive SLP, S.A.P.I. de C.V.","Gestamp Holding Hamilton, Inc",Edscha Automotive Components (Chongqing) Co. Ltd.,"Gestamp Services India Private, Ltd."
"Edscha North America Technologies, Llc.","Gestamp Saint Clair, LLC","Edscha Automotive Components (Kunshan) Co., Ltd.","Gestamp Severstal Kaluga, LLC"
"Ges Recycling Alabama, LLC","Gestamp Stanton, LLC","Edscha Automotive Components (Shanghai) Co., Ltd",Gestamp Severstal Vsevolozhsk Llc
"Ges Recycling Michigan, LLC","Loire USA, LLC","Edscha Automotive Technology (Shangai) Co., Ltd.","Gestamp Togliatti, Llc."
"Ges Recycling South Carolina, LLC","Soluciones de Gestión de Residuos Mexicana, S.A. de C.V.","Edscha Japan Co., Ltd.","Gestool Tooling Manufacturing (Kunshan), Co., Ltd"
"Ges Recycling Tennessee, LLC",,"Edscha Pha Automotive Components (Kunshan) Co., Ltd.","Indutrial Steel Recycling, L.L.C."
"Ges Recycling USA, LLC",,"Edscha Pha, Ltd.","Jui Li Edscha Body Systems Co., Ltd."
"Ges Recycling West Virginia, LLC",SOUTH AMERICA,"Edscha Togliatti, Llc.","Jui Li Edscha Hainan Industry Enterprise Co., Ltd."
"Gescrap Autometal Mexico, S.A. de C.V.",,Gescrap India Private Limited,"Jui Li Edscha Holding Co., Ltd."
"Gescrap Autometal Mexico Servicios, S.A. de C.V.",Edscha do Brasil Ltda.,"Gescrap Rus, LLC","Shanghai Edscha Machinery Co., Ltd."
"Gestamp Aguascalientes, S.A.de C.V.","Gescrap - Autometal Comercio de Sucatas, S/A",Grescrap Turkey Metal Sanayi ve Ticaret Limited Sirketi,
"Gestamp Alabama, LLC.","Gestamp Argentina, S.A.","Gestamp (China) Holding, Co. Ltd",
"Gestamp Cartera de México, S.A. de C.V.","Gestamp Baires, S.A.","Gestamp Auto Components (Beijing) Co., Ltd.",
"Gestamp Chattanooga II, Llc","Gestamp Brasil Industria de Autopeças, S.A.","Gestamp Auto components (Chongqing) Co., Ltd.",
"Gestamp Chattanooga, Llc","Gestamp Córdoba, S.A.","Gestamp Auto Components (Dongguan), Co. Ltd.",
"Gestamp Mason, LLC.",Gestamp Sorocaba Industria Autopeças Ltda.,"Gestamp Auto Components (Kunshan) Co., Ltd",
"Gestamp Mexicana de Serv. Laborales, S.A. de C.V.",,Gestamp Auto Components (Shenyang). Co. Ltd.,
