0,1,2,3,4
Type of contract,Direct labour (DL),Indirect labour (IL),Regular labour (RL),Total 2023
Open Ended (FT),"16,671","13,605","9,287","39,563"
Open Ended (PT),142,82,164,388
Fixed Term (FT),"1,819",642,316,"2,777"
Fixed Term (PT),467,68,45,579
Apprenticeship (FT),96,303,68,467
Apprenticeship (PT),1,2,9,12
Internships (FT),23,11,56,91
Internships (PT),2,1,11,15
Total 2023,"19,221","14,716","9,956","43,893"
