0,1,2,3,4,5,6
Type working day,<36,36-55,>55,Men,Women,Total
Full Time,"14,367","19,074","3,687","30,005",7.122,37.127
Part Time,399,344,244,624,363,987
Total 2023,"14,766","19,417","3,931","30,630","7,484","38,114"
