0,1,2,3
,$ $,,
Prohibition of child labor,Fair wages and benefits,Protection of the rights of migrant workers,Security of products and services
,:selected: L,,
"Eradication of forced labor, human trafficking and modern forms of slavery",Respect for work hours,Protection of the rights of local communities,Abstention in the purchase of minerals from conflict zones
,.....,,
No discrimination,Respect the right of union association and collective bargaining,Environmental conservation,
