0,1,2,3,4,5,6,7,8,9,10,11,12,13
SKILLS & KNOWLEDGE,,,,,,,,,,,,,
"9 Legal
:unselected:",,,,,,,,,:selected:,,,,
"10 Accounting and Finance
:unselected:",,· :selected:,,:selected:,:selected:,:selected:,. :selected:,. :selected:,:selected:,,,,
"11 Audit
:unselected:",,. :selected:,,,,:selected:,. :selected:,,:selected:,,,,
"12 Risk Management
:selected:",:selected:,. :selected:,,,,,:selected:,,,,,,
