0,1,2,3,4,5,6
Eligible Activities,Sales 2022,Sales 2023,Capex 2022,Capex 2023,Opex 2022,Opex 2023
"3.4. Manufacture of batteries, cells and accumulators",2.32%,3.43%,11.79%,14.06%,-,-
3.18. Manufacturing of automotive and mobility components*,-,0.76%,-,4.70%,-,-
Total,2.32%,4.19%,11.79%,18.76%,-,-
