0,1,2,3
EUROPE,"Gescrap Centro, S.L.","Gestamp Levante, S.A.","Industrias Tamer, S.A."
,"Gescrap Czech, s.r.o.","Gestamp Linares, S.A.","Ingeniería Global Metalbages, S.A."
"Adral, matriceria y pta. a punto, S.L.","Gescrap Desarrollo, S.L.","Gestamp Louny, S.R.O.","Ingeniería y Construcción de Matrices, S.A.U"
"Almussafes Mantenimiento de Troqueles, S.L.","Gescrap France, S.A.R.L.","Gestamp Manufacturing Autochasis, S.L.","IxCxT, S.A.U"
"Automated Joining Solutions, S.L.",Gescrap GmbH,"Gestamp Metalbages, S.A.",Loire Sociedad Anónima Franco Española
Automotive Chassis Products Plc.,"Gescrap Hungary, KFT","Gestamp Navarra, S.A.","Lusoscrap, Lda"
Autotech Engineering Deutschland GmbH,"Gescrap LT, UAB","Gestamp Nitra, S.R.O.","Mursolar 21, S.L."
Autotech Engineering France S.A.S.,"Gescrap Navarra, S.L.","Gestamp North Europe Services, S.L.","Recuperaciones Férricas Asturianas, S.L."
Autotech Engineering R&D Uk limited,"Gescrap Noroeste, S.L.","Gestamp Noury, S.A.S","Recuperaciones Férricas Integrales, S.A."
Autotech Engineering S.L.,Gescrap Polska Sp. Z.o.o.,"Gestamp Palau, S.A.","Recuperaciones Medioambientales Industriales, S.L."
"Autotech Engineering Spain, S.L.","Gescrap Romania, S.R.L.","Gestamp Palencia, S.A.","Refeinsa Centro, S.L."
"Beta Steel, S.L.",Gescrap S.L.,"Gestamp Polska, SP. Z.O.O.","Refeinsa Navarra, S.L."
"Car Recycling, S.L.","Gescrap Servicios Portuarios, S.L.","Gestamp Prisma, S.A.S","Reimasa Recycling, S.L."
"Diede Die Developments, S.L.","Gescrap Slovakia, s.r.o.","Gestamp Proyectos Automoción 1, S.L.
:unselected:","Reparaciones Industriales Zaldibar, S.L."
DJC Recyclage,"Gescrap Trading, S.L.","Gestamp Proyectos Automoción 3, S.L.
:unselected:","Samper-Refeinsa Galicia, S.L."
Edscha Automotive Hauzenberg GmbH,"Gestamp 2008, S.L.","Gestamp Ronchamp, S.A.S
:unselected:",SCI de Tournan
Edscha Automotive Hengersberg GmbH,"Gestamp 2017, S.L.U.","Gestamp Servicios, S.A.","Sideacero, S.L."
Edscha Automotive Kamenice S.R.O.,"Gestamp Abrera, S.A.","Gestamp Solblank Barcelona, S.A.
:unselected:","Smart Industry Consulting and Technologies, S.L.U"
Edscha Briey S.A.S.,"Gestamp Aragón, S.A.","Gestamp Sweden, AB","Sofedit, S.A.S"
"Edscha Burgos, S.A.","Gestamp Automoción, S.A.","Gestamp Tallent, Ltd
:unselected:","Todlem, S.L."
Edscha Engineering France S.A.S.,"Gestamp Aveiro-Indústria de acessórios de Automóveis, S.A.","Gestamp Tech, S.L.
:unselected:","Transportes Basegar, S.A."
Edscha Engineering GmbH,"Gestamp Beycelik Romania, S.R.L.","Gestamp Technlogy Institute, S.L.",
Edscha Hauzenberg Real Estate GmbH & Co. KG,"Gestamp Bizkaia, S.A.","Gestamp Toledo, S.A.",
Edscha Hengersberg Real Estate Gmbh & Co. KG,"Gestamp Cerveira, Lda.","Gestamp Tool Hardening, S.L.",
Edscha Holding GmbH,"Gestamp Esmar, S.A.","Gestamp Tooling Engineering Deutschland, GmbH",
Edscha Hradec S.R.O.,"Gestamp Etem Automotive Bulgaria, S.A.","Gestamp Tooling Erandio, S.L.",
Edscha Kunststofftechnik GmbH,"Gestamp Global Tooling, S.L.","Gestamp Tooling Services, AIE",CORPORATE HEADQUARTERS
"Edscha Mechatronics Solutions, GmbH","Gestamp Griwe Haynrode, Gmbh","Gestamp Try Out Services, S.L.",
"Edscha Santander, S.A.","Gestamp Griwe Westerburg, Gmbh",Gestamp Umformtechnik GmbH,GESTAMP AUTOMOCIÓN
Edscha Velky Meder S.R.O.,"Gestamp HardTech, AB",Gestamp Vendas Novas Lda.,Polígono industrial de Lebario
"Etem Gestamp Aluminium Extrusions, S.A.","Gestamp Holding Argentina, S.L.","Gestamp Vigo, S.A.",48220 Abadiño - Vizcaya (Spain)
"Flycorp, S.L.","Gestamp Holding China, AB",Gestamp Wroclaw Sp.z.o.o.,
Ges Recycling Limited,"Gestamp Holding México, S.L.","Gestión Global de Matricería, S.L.",GRUPO GESTAMP
Ges Recycling Polska Sp. Z.o.o,"Gestamp Holding Rusia, S.L.","Global Laser Araba, S.L.","Calle Alfonso XII, 16"
"Gescrap Aragón, S.L.",Gestamp Hungaria KFT,GMF Holding GmbH,28014 Madrid (Spain)
"Gescrap Catalunya, S.L.","Gestamp Ingeniería Europa Sur, S.L.","Gestamp Wolfsburg, GmbH",
