0,1,2,3,4,5,6
Type working day,<36,36-55,>55,Men,Women,Total
Full Time,"13,783",18.064,"3,507","28,809","6,545","35,354"
Part Time,281,303,258,521,32,842
Total 2022,"14,064","18,367","3,765","29,330","6,866","36,196"
