0,1,2,3,4,5,6
CONTRIBUTION TYPE,2021 Financial value (€),2021%,2022 Financial value (€),2022%,2023 Financial value (€),2023 %
Money,"356,932",48%,"976,905.52",80.7%,"1.009,305.01",89.6%
Time,"365,619",49%,"97,483.20",8%,"86,494.80",7.7%
In kind,"26,325",4%,"136,704.74",11.3%,30.491.86,2.7%
Total,"748,877",100%,"1,211,093.46",100%,"1,126,291.67",100%
