0,1,2,3,4,5,6
Global Gestamp,2023,,,2022,,
,Men,Women,Total,Men,Women,Total
Directors,"187,094","154,371","181,361","177,740","132,203","168,894"
Middle managers,"73,982","73,502","73,851","67,225","68,062",67.445
All other employees,"35,534","35,940","35,608","33,674",33.442,"33,633"
Total,"40,928","41,439","41,023","38,648","38,593","38,638"
