0,1,2,3
Water consumption according to the source (m3),2021,2022,2023
Public Network,"1,383,704","1,584,713","1,570,338"
Surface Water,0.241,0.240,0
Underground Water,"255,162","206,835","183,212"
Total,"1,639,107","1,791,788","1,753,550"
