0,1,2
INCOME TAXES RECOGNIZED IN TOTAL EQUITY,,
million €,"Year ended Sept. 30, 2022","Year ended Sept. 30, 2023"
Income tax expense/(benefit) as presented on the statement of income,175,403
Income non-effective tax effect on other comprehensive income,,
Continuing operations,(3),24
Discontinued operations,0,0
Income tax effects charged/(credited) directly to equity#,0,(4)
Total,172,423
