0,1,2,3,4,5,6,7,8
Automotive Technology (pro forma),,Decarbon Technologies (pro forma),,Materials Services,,Steel Europe,,Marine Systems (pro forma)2)
,,,,,,,,
2022 / 2023,,2022 / 2023,,2022 / 2023,,2022 / 2023,,2022 / 2023
"Sales €7,910 million",,Sales,,"Sales €13,613 million",,Sales,,"Sales €1,832 million"
,,"€3,438 million",,,,"€12,375 million",,
Adjusted EBIT €266 million,,Adjusted EBIT,,Adjusted EBIT,,Adjusted EBIT,,Adjusted EBIT €73 million
,,€28 million,,€178 million,,€320 million,,
"Employees1) 31,689",,"Employees1) 15,101",,"Employees1) 16,329",,"Employees1) 26,822",,"Employees1) 7,745"
