0,1,2,3,4,5,6
LTI 2022/2023 - 2025/2026: TARGET ACHIEVEMENT ON ANNUAL BASIS FOR 2022/2023,,,,,,
Performance criterion,Weighting,Threshold value for 0% target achievement,Target value for 100% target achievement,Threshold value for 200% target achievement,Result for 2022/2023,Target achievement
Relative Total Shareholder Return (Percentile),30%,25,50,75,84,200.00%
Return on Capital Employed (%),40%,5.60,11.20,16.80,(9.28),0.00%
Proportion of women in leadership positions (%),15%,13.00,14.00,15.00,14.61,161.00%
Employee Net Promoter Score,15%,(23.00),(8.00),2.00,(4.00),140.00%
Total,100%,,,,,105.15%
