0,1,2,3
Profitability,Profit,Value added,Liquidity
Operating earnings +/- operational components of financial income,EBIT +/- non operational components of statement of income,EBIT +/- cost of capital,Operating cash flow +/- cash flows from investing activities
EBIT +/- special items,Net income/(-loss),tkVA EBIT / Capital Employed,Free cash flow +/- cash inflows / outflows from material M&A transactions
Adjusted EBIT,,ROCE,Free cash flow before M&A
