0,1,2,3
ACQUISITIONS/DIVESTITURES OF BUSINESSES,,,
Number of consolidated companies,Germany,Abroad,Total
"Balance as of Sept. 30, 2021",94,241,335
Additions,5,15,20
Disposals,(7),(36),(43)
"Balance as of Sept. 30, 2022",92,220,312
Additions,7,6,13
Disposals,(2),(3),(5)
"Balance as of Sept. 30, 2023",97,223,320
