0,1,2,3,4,5
"FUTURE UNDISCOUNTED CASH OUTFLOWS AS OF SEPT. 30, 2023",,,,,
million €,"Carrying amount Sept. 30, 2023",Cash flows in 2023/2024,Cash flows in 2024/2025,Cash flows between 2025/2026 and 2027/2028,Cash flows after 2027/2028
Bonds,"2,098","1,558",615,0,0
Liabilities to financial institutions,90,39,19,33,7
Lease liabilities,678,152,132,259,313
Other financial debt,159,58,16,98,0
Trade accounts payable,"4,270","4,014",237,19,1
Derivative financial liabilities not qualifying for hedge accounting,111,70,6,2,33
Derivative financial liabilities qualifying for hedge accounting,21,21,0,0,0
Other financial liabilities,787,763,12,13,0
