0,1,2,3
RESEARCH AND DEVELOPMENT,,,
million €,2021/2022,2022/2023,Change in %
Research and development cost,246,239,(3
Amortization of capitalized development costs,11,12,9
Order-related development costs,367,447,22
Group continuing operations1),624,698,12
