0,1,2
RECONCILIATION OF LIQUID FUNDS,,
million €,"Sept. 30, 2022","Sept. 30, 2023"
Cash,"1,907","2,641"
Cash equivalents,"5,730","4,699"
Cash and cash equivalents according to the balance sheet,"7,638","7,339"
Liquid funds according to statement of cash flows,"7,638","7,339"
