0,1,2
PROVISIONS FOR PENSIONS AND SIMILAR OBLIGATIONS,,
million €,"Sept. 30, 2022","Sept. 30, 2023"
Pension obligations,"5,573","5,294"
Partial retirement,206,150
Other pension-related obligations,33,30
Total,"5,812","5,474"
