0,1,2,3,4,5
EXTERNAL SALES BY REGION,,,,,
million €,Germany,USA,China,Other countries,Group
External sales (location of customer),,,,,
"Year ended Sept. 30, 2022","13,894","6,362","1,973","18,910","41,140"
"Year ended Sept. 30, 2023","12,420","6,197","1,872","17,047","37,536"
