0,1
million €,2022/2023
Capital Expenditure,
"Additions to property, plant and equipment",266
Additions to intangible assets,0
Additions to right-of-use assets (IFRS 16),0
Additions to investment properties,0
Total,266
,
Operating Expenditure,
Expenses for research and development and others,6
"Expenses for building renovation measures, maintenance and repair",15
Expenses for short-term or low value leases,2
Total,23
