0,1,2
FEES OF AUDITOR,,
million €,"Year ended Sept. 30, 2023",
,Total,thereof KPMG AG Wirtschaftsprüfungs- gesellschaft
Audit fees,16,11
Audit-related fees,3,3
Tax fees,0,0
Fees for other services,1,0
Total,20,14
