0,1,2,3,4
"BREAKDOWN RECONCILIATION FOR THE YEAR ENDED SEPT. 30, 2023",,,,
million €,Servi Service Units,Special Units,Consolidation,Reconciliation
"Year ended Sept. 30, 2023",,,,
External sales,19,3,(6),17
Internal sales within the group,239,31,"(1,978)","(1,708)"
Sales,258,34,"(1,984)","(1,691)"
Income from companies accounted for using the equity method,0,0,0,0
Aggregate investment in investees accounted for using the equity method,0,1,0,1
EBIT,13,(66),23,(30)
Adjusted EBIT,15,(33),18,0
Average capital employed,(24),858,(168),666
Depreciation expense,11,13,(2),22
"Impairment losses of intangible assets, property, plant and equipment inclusive of investment property",1,27,(5),23
"Reversals of impairment losses of intangible assets, property, plant and equipment inclusive of investment property",0,0,0,0
Significant non-cash items,(5),(4),(1),(11)
"Capital expenditures (intangible assets, property, plant and equipment inclusive of investment property)",5,0,(12),(8)
