0,1,2,3,4
"INTEREST ANALYSIS Change in all yield curves as of Sept. 30, 2022 by Sept. 30, 2023 by million € + 100 basis points (50) basis points + 100 basis points (100) basis points",,,,
Cash flow risk,69,(35),63,(63)
Opportunity effects,43,(22),17,(17)
Interest rate risks resulting from interest rate derivatives affecting balance sheet,0,0,0,0
Interest rate risks resulting from interest rate derivatives affecting earnings,0,0,0,0
