0,1,2,3,4,5
CAPEX PLAN TO FURTHER ALIGN WITH EU TAXONOMY,,,,,
million €,Environmental objective,Lever,2022/2023,2023/24 - 2026/27,Total
Economic activities,,,,,
3.9 Manufacture of iron and steel,Climate change mitigation,Upgrading,255,509,764
