0,1,2,3,4,5,6,7
MARINE SYSTEMS IN FIGURES,,,,,,,
,,"Year ended Sept. 30, 2022","Sept. 30, 2023 Year ended",Change in %,"4th quarter ended
Sept. 30, 2022","4th quarter ended
Sept. 30, 2023",Change in %
Order intake,million €,"4,232",959,(77),320,572,78
Sales,million €,"1,831","1,839",0,567,349,(38)
EBITDA,million €,89,141,59,37,48,30
EBIT,million €,24,77,++,20,29,46
Adjusted EBIT,million €,32,80,++,20,30,54
Adjusted EBIT margin,%,1.7,4.4,—,3.4,8.6,—
Investments,million €,131,124,(5),77,57,(26)
Employees (Sept. 30),,"6,943","7,772",12,"6,943","7,772",12
