0,1,2,3,4,5,6
LTI 2021/2022 - 2024/2025: TARGET ACHIEVEMENT ON ANNUAL BASIS FOR 2022/20231),,,,,,
Performance criterion,Weighting,Threshold value for 0% target achievement,Target value for 100% target achievement,Threshold value for 200% target achievement,Result for 2022/2023,Target achievement
Relative Total Shareholder Return (Percentile),30%,25,50,75,84,200.00%
Return on Capital Employed (%),40%,5.00,10.00,15.00,(9.28),0.00%
Emissions intensity2) (t CO2-equivalent per €1 million sales p.a.),15%,38.50,36.50,34.50,31.18,200.00%
Verified production volume of net CO2-reduced steel (kt p.a.)3),15%,20.00,50.00,100.00,75.97,151.94%
Total,100%,,,,,112.79%
