0,1,2,3,4,5
NON-CURRENT ASSETS BY REGIONS,,,,,
million €,Germany,USA,China,Other countries,Group
"Non-current assets (intangible assets, property, plant and equipment inclusive of investment property and other non-financial assets) (location of assets)",,,,,
"Sept. 30, 20221)","5,638",470,612,"2,205","8,924"
"Sept. 30, 2023","4,285",530,528,"2,073","7,416"
