0,1,2,3,4,5
STI 2022/2023 TARGET ACHIEVEMENT WITH REGARD TO THE FINANCIAL PERFORMANCE CRITERIA,,,,,
Performance criterion,Threshold value for 0% target achievement,Target value for 100% target achievement,Threshold value for 200% target achievement,Result for 2022/2023,Target achievement (%)
Net income (€ million),82,582,"1,582","(1,986.39)",0.00
Free cash flow before M&A (€ million),(250),250,"1,250",363.15,111.32
