0,1,2,3,4,5,6
CHANGE IN ASSET CEILING (INCLUSIVE OF MINIMUM FUNDING),,,,,,
million €,"Sept. 30, 2022 Sept. 30, 2023",,,,,
,Germany,Other countries,Total,Germany,Other countries,Total
Net amount at beginning of fiscal year,0,49,49,0,34,34
Interest expense/(income),0,1,1,0,2,N/ 2
Remeasurement: Limitation of asset ceiling exclusive of amounts included in interest expense/income,0,(16),(16),0,(10),(10)
Currency differences,0,0,0,0,0,0
Net amount at end of fiscal year,0,34,34,0,25,25
