0,1,2,3,4,5,6,7
€000s,,Johannes Dietsch Martina Merz,,,,,
,,"Ordinary member of the Executive Board Feb. 1, 2019 - March 31, 2020",,,"Chairwoman of the Executive Board October 1, 2019 - May 31, 2023",,
,,Target compensation,Maximum,Payout,compensation Target,Maximum,Payout
One-year variable compensation,STI 2022/2023,-,-,-,938,"1,875",670
Multiple-year variable compensation,LTI 2019/2020,525,"1,313",224,"2,000","5,000",853
