0,1,2
POTENTIAL FUTURE LEASE PAYMENTS,,
million €,"Sept. 30, 2022","Sept. 30, 2023"
Extension and/or termination options as well as call options,(140),(87)
Variable payments,0,(3)
Lease commitments,(11),(3)
Total,(151),(92)
