0,1,2,3,4,5
,PSUs granted in 2023,PSUs granted in 2022,PSUs granted in 2021,PSUs granted in 2020,PSUs granted in 2019
Lakshmi N. Mittal,"67,857","67,662","52,166","77,372","89,933"
Aditya Mittal,"74,116","73,902","56,977","71,050",—
Term (in years),3,3,3,3,3
Vesting date1,"January 1, 2027","January 1, 2026","January 1, 2025","January 1, 2024","January 1, 2023"
