0,1,2,3,4,5,6,7
,,,,,"December 31, 2022",,
Hedging Instruments,Nominal amount of the hedging instrument,Assets carrying amount,Liabilities carrying amount,Line item in the statement of financial position where the hedging instrument is located,Change in value used for calculating hedge ineffectiveness for 2020,Line item in the statement of comprehensive income that includes the recognized hedge ineffectiveness,Foreign currency translation reserve
Net investment hedges,,,,,,,
Foreign exchange risk - Cross Currency Swap,"—
:unselected:","—
:unselected:","—
:unselected:",N/a,"—
:unselected:",N/a,70
Foreign exchange risk - EUR debt,"5,196","—
:unselected:","(5,186)","Short-term debt and current portion of long-term debt; long-term debt, net of current portion","—
:unselected:",N/a,456
Total,"5,196","—
:unselected: :unselected:","(5,186)",,"—
:unselected:",,526
