0,1,2,3,4,5,6,7,8
,"December 31, 2021",,,,,,,
Summarized statements of operations,AMSA,Sonasid,AMKR,BBA,Hera Ermac,AMMC,Arceo,AM Liberia
Revenue,"2,695",480,"4,015","1,021","—
:unselected:","3,997",—,372
Net income (loss),489,15,920,272,"(4)
:selected:","1,713",3,63
Total comprehensive income (loss),491,17,918,273,"(4)
:selected:","1,796",3,63
