0,1,2,3,4,5,6
,"December 31, 2022",,,,,
,Cash flow hedge reserve,,(Expense)/income,,,
,Carrying amount,3 months and less,3-6 months,6-12 months,2024,After 2024
Foreign exchange contracts,13,"—
:unselected:",2,4,7,—
Commodity contracts,"1,020","7
:selected:",37,157,387,432
Emission rights,849,"—
:unselected:","—
:unselected:",—,—,849
Total,"1,882","7
:selected:",39,161,394,"1,281"
