0,1,2,3,4
,Gross amount,Total deferred tax assets,Recognized deferred tax assets,Unrecognized deferred tax assets
Tax losses and other tax benefits carried forward,"126,685","31,587","9,340","22,247"
Tax credits carried forward,600,600,128,472
Other temporary differences,"10,543","2,663","1,908",755
Total,,"34,850","11,376","23,474"
