0,1,2,3
,"Year ended December 31,",,
,2023,2022,2021
Net periodic pension cost,159,130,191
Net periodic OPEB cost,90,46,(44)
Total,249,176,147
Cost of sales,100,115,72
"Selling, general and administrative expenses",14,—,9
Financing costs - net,135,61,66
Total,249,176,147
