0,1,2,3,4,5,6,7,8,9
,"December 31, 2023",,,,,,,,
Summarized statements of operations,AMSA,Sonasid,AMKR,BBA,Hera Ermac,AMMC,Arceo,AM Liberia,ArcelorMittal Texas HBI LLC
Revenue,"2,256",471,"1,144",915,—,"3,216",—,248,732
Net (loss) income,(217),4,(328),128,(51),943,5,(85),(40)
Total comprehensive income (loss),(216),13,(336),127,(51),935,5,(85),(43)
