0,1,2,3,4,5,6,7
"Year ended December 31, 2022",NAFTA,Brazil,Europe,ACIS,Mining,Others,Total
Steel sales,"12,796","11,133","41,804","5,061",—,—,"70,794"
Non-steel sales 1,491,189,"2,212",373,"1,274",—,"4,539"
By-product sales 2,97,125,"1,397",173,—,"—
:unselected:","1,792"
Other sales 3,332,482,"1,602",256,31,16,"2,719"
Total,"13,716","11,929","47,015","5,863","1,305",16,"79,844"
